                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.59502,                0.62627,                0.80582,                0.22952,                0.95157,                0.29305,                0.24658,                0.49343,                 489.59,                0.72141,             0.00057263,             0.00057263,             0.00057263
                     63,                0.59765,                 0.6332,                0.80349,                0.23026,                0.97647,                0.27921,                0.23398,                0.49539,                 739.38,                0.71906,             0.00057027,             0.00057027,             0.00057027
                     64,                 0.6024,                0.68119,                0.80306,                 0.2357,                0.95306,                0.28314,                 0.2433,                 0.4608,                 608.36,                0.71689,             0.00056792,             0.00056792,             0.00056792
                     65,                0.59683,                0.65264,                0.80511,                0.24981,                0.84218,                0.29234,                0.24924,                0.45779,                  542.4,                0.71315,             0.00056556,             0.00056556,             0.00056556
                     66,                0.59713,                0.67122,                0.80469,                0.24532,                0.85636,                0.26351,                0.22093,                0.46523,                 751.45,                0.71604,              0.0005632,              0.0005632,              0.0005632
                     67,                0.58793,                0.62889,                0.80335,                0.22883,                0.96804,                0.28443,                0.24281,                0.45414,                  398.7,                0.71395,             0.00056085,             0.00056085,             0.00056085
                     68,                0.60316,                0.62998,                0.80391,                0.22915,                0.98385,                0.25436,                0.21685,                0.46269,                 441.49,                 0.7157,             0.00055849,             0.00055849,             0.00055849
                     69,                 0.5894,                  0.626,                0.80369,                0.23135,                0.94758,                0.29131,                0.25194,                0.45309,                 524.17,                0.71481,             0.00055613,             0.00055613,             0.00055613
                     70,                0.58667,                0.64972,                0.80282,                0.23048,                0.98812,                0.25021,                 0.2096,                0.46072,                 455.92,                0.71521,             0.00055378,             0.00055378,             0.00055378
                     71,                0.59227,                0.60915,                0.80429,                0.23513,                0.95191,                0.27679,                0.23444,                0.47122,                 458.59,                0.71671,             0.00055142,             0.00055142,             0.00055142
                     72,                0.58148,                0.61125,                0.80348,                 0.2421,                0.90189,                0.26367,                0.22469,                0.45775,                 437.15,                0.71552,             0.00054907,             0.00054907,             0.00054907
                     73,                 0.5917,                0.62569,                0.80161,                0.23728,                0.94477,                0.28733,                0.24256,                0.47505,                 528.16,                0.71817,             0.00054671,             0.00054671,             0.00054671
                     74,                0.59702,                0.59389,                0.80347,                0.23676,                0.94935,                0.28765,                0.24862,                0.43957,                 463.05,                0.71274,             0.00054435,             0.00054435,             0.00054435
                     75,                0.57362,                0.59935,                0.79988,                0.23026,                0.97982,                 0.2788,                0.23922,                 0.4434,                 254.18,                0.71402,               0.000542,               0.000542,               0.000542
                     76,                0.59062,                0.62715,                0.80351,                0.22858,                0.94136,                0.26164,                0.22693,                0.43867,                 644.87,                0.71293,             0.00053964,             0.00053964,             0.00053964
                     77,                 0.5733,                0.58945,                0.80118,                0.24859,                0.82844,                0.28347,                0.24575,                 0.4354,                 515.91,                 0.7142,             0.00053728,             0.00053728,             0.00053728
                     78,                0.58818,                 0.6344,                 0.8026,                0.22836,                0.97363,                0.27946,                 0.2415,                0.44514,                  577.4,                0.71507,             0.00053493,             0.00053493,             0.00053493
                     79,                0.58467,                0.62509,                 0.8036,                0.22997,                0.96767,                0.27941,                0.23968,                0.45098,                  467.2,                 0.7141,             0.00053257,             0.00053257,             0.00053257
                     80,                0.58599,                 0.6287,                 0.8045,                0.23388,                0.93477,                0.28217,                0.24237,                 0.4518,                 614.54,                0.71406,             0.00053022,             0.00053022,             0.00053022
                     81,                0.59131,                0.60468,                 0.8039,                0.24319,                0.89909,                0.26949,                0.22706,                0.46066,                 314.05,                0.71724,             0.00052786,             0.00052786,             0.00052786
                     82,                0.58442,                 0.6301,                0.80247,                0.22988,                 0.9537,                0.26868,                0.22963,                0.44596,                 439.38,                0.71323,              0.0005255,              0.0005255,              0.0005255
                     83,                 0.5725,                0.64967,                0.80171,                0.23402,                0.96031,                0.28122,                0.24145,                0.45319,                 331.59,                0.71384,             0.00052315,             0.00052315,             0.00052315
                     84,                 0.5914,                0.60142,                0.80481,                0.24004,                0.94166,                0.30057,                0.26262,                0.43144,                 550.13,                0.71217,             0.00052079,             0.00052079,             0.00052079
                     85,                0.57557,                0.59145,                0.80046,                0.23599,                0.91115,                0.27718,                0.23999,                0.43926,                 508.75,                0.71222,             0.00051844,             0.00051844,             0.00051844
                     86,                0.57745,                0.59021,                0.80201,                0.22925,                0.97125,                0.27016,                0.23293,                0.44464,                 332.23,                0.71416,             0.00051608,             0.00051608,             0.00051608
                     87,                0.56842,                  0.595,                0.80096,                0.23741,                0.90974,                 0.2702,                 0.2331,                0.43948,                 456.01,                0.71334,             0.00051372,             0.00051372,             0.00051372
                     88,                0.57029,                0.57905,                0.80039,                0.23403,                0.95768,                 0.2817,                0.24648,                0.42445,                 556.36,                0.71031,             0.00051137,             0.00051137,             0.00051137
                     89,                 0.5794,                0.62229,                0.80059,                0.23371,                0.90987,                0.26686,                0.22793,                0.45473,                 358.94,                0.71514,             0.00050901,             0.00050901,             0.00050901
                     90,                 0.5797,                0.62688,                0.80297,                0.24301,                 0.8973,                0.27011,                0.23172,                0.44378,                 512.91,                0.71338,             0.00050665,             0.00050665,             0.00050665
                     91,                0.57617,                0.61431,                 0.8016,                0.23383,                0.98303,                0.26576,                 0.2304,                0.43871,                 371.95,                0.71146,              0.0005043,              0.0005043,              0.0005043
                     92,                0.57672,                0.56947,                0.80147,                0.22922,                0.96604,                0.24617,                0.21132,                0.43903,                 768.23,                0.71256,             0.00050194,             0.00050194,             0.00050194
